classification_record_id,数据快照,分类规则版本,standard原值,standard规范值,viol_type,citation汇总数,当前删除状态汇总数,官方标准说明入口,初分人员,初分主类,初分副类1,初分副类2,初分命中规则编号,初分信心,初分是否不确定,初分不确定原因,初分依据,复核人员,复核主类,复核副类1,复核副类2,复核命中规则编号,复核信心,复核是否不确定,复核不确定原因,复核依据,是否主类一致,是否全部一致,最终主类,最终副类1,最终副类2,裁定命中规则编号,裁定依据,裁定人,专业复核人,是否Other或Unmapped,未映射原因,初分文件SHA256,复核文件SHA256,初分日期,复核日期,裁定日期,状态,备注
C000521,,v6-OSHA官网验证版,1552452104 D,1552452104 D,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552452104 D,非目标标准体系: 1552452104 D,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000522,,v6-OSHA官网验证版,1552460702,1552460702,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552460702,非目标标准体系: 1552460702,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000523,,v6-OSHA官网验证版,1552460901,1552460901,O,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552460901,非目标标准体系: 1552460901,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000524,,v6-OSHA官网验证版,1552460901,1552460901,R,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552460901,非目标标准体系: 1552460901,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000525,,v6-OSHA官网验证版,1552460901,1552460901,S,7,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552460901,非目标标准体系: 1552460901,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000526,,v6-OSHA官网验证版,1552460902 A,1552460902 A,S,2,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552460902 A,非目标标准体系: 1552460902 A,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000527,,v6-OSHA官网验证版,1552460904 A,1552460904 A,O,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552460904 A,非目标标准体系: 1552460904 A,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000528,,v6-OSHA官网验证版,1552460904 A,1552460904 A,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552460904 A,非目标标准体系: 1552460904 A,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000529,,v6-OSHA官网验证版,1552460907 A,1552460907 A,S,2,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552460907 A,非目标标准体系: 1552460907 A,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000530,,v6-OSHA官网验证版,1552460907 B,1552460907 B,S,5,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552460907 B,非目标标准体系: 1552460907 B,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000531,,v6-OSHA官网验证版,1552461101 A,1552461101 A,S,3,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552461101 A,非目标标准体系: 1552461101 A,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000532,,v6-OSHA官网验证版,1552461102,1552461102,O,2,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552461102,非目标标准体系: 1552461102,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000533,,v6-OSHA官网验证版,1552461102,1552461102,S,12,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552461102,非目标标准体系: 1552461102,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000534,,v6-OSHA官网验证版,1552461102 B,1552461102 B,R,2,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552461102 B,非目标标准体系: 1552461102 B,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000535,,v6-OSHA官网验证版,1552461102 B,1552461102 B,S,5,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1552461102 B,非目标标准体系: 1552461102 B,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000536,,v6-OSHA官网验证版,1553370506,1553370506,O,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1553370506,非目标标准体系: 1553370506,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000537,,v6-OSHA官网验证版,1553380503,1553380503,O,2,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1553380503,非目标标准体系: 1553380503,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000538,,v6-OSHA官网验证版,1553382001,1553382001,O,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1553382001,非目标标准体系: 1553382001,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000539,,v6-OSHA官网验证版,15552901,15552901,O,5,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 15552901,非目标标准体系: 15552901,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000540,,v6-OSHA官网验证版,15552901,15552901,R,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 15552901,非目标标准体系: 15552901,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000541,,v6-OSHA官网验证版,15552901,15552901,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 15552901,非目标标准体系: 15552901,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000542,,v6-OSHA官网验证版,1555311407,1555311407,O,3,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555311407,非目标标准体系: 1555311407,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000543,,v6-OSHA官网验证版,1555330001 A,1555330001 A,O,3,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555330001 A,非目标标准体系: 1555330001 A,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000544,,v6-OSHA官网验证版,1555330001 A,1555330001 A,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555330001 A,非目标标准体系: 1555330001 A,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000545,,v6-OSHA官网验证版,155533000101,155533000101,O,7,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 155533000101,非目标标准体系: 155533000101,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000546,,v6-OSHA官网验证版,155533000101,155533000101,S,3,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 155533000101,非目标标准体系: 155533000101,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000547,,v6-OSHA官网验证版,155533020103,155533020103,O,2,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 155533020103,非目标标准体系: 155533020103,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000548,,v6-OSHA官网验证版,1555330203 E,1555330203 E,O,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555330203 E,非目标标准体系: 1555330203 E,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000549,,v6-OSHA官网验证版,1555330601,1555330601,O,2,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555330601,非目标标准体系: 1555330601,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000550,,v6-OSHA官网验证版,1555330601,1555330601,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555330601,非目标标准体系: 1555330601,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000551,,v6-OSHA官网验证版,155533060103,155533060103,O,2,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 155533060103,非目标标准体系: 155533060103,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000552,,v6-OSHA官网验证版,1555340001,1555340001,O,2,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340001,非目标标准体系: 1555340001,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000553,,v6-OSHA官网验证版,1555340006,1555340006,O,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340006,非目标标准体系: 1555340006,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000554,,v6-OSHA官网验证版,155534002902,155534002902,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 155534002902,非目标标准体系: 155534002902,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000555,,v6-OSHA官网验证版,1555340035,1555340035,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340035,非目标标准体系: 1555340035,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000556,,v6-OSHA官网验证版,1555340105 I,1555340105 I,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340105 I,非目标标准体系: 1555340105 I,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000557,,v6-OSHA官网验证版,1555340106 I,1555340106 I,S,3,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340106 I,非目标标准体系: 1555340106 I,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000558,,v6-OSHA官网验证版,1555340503,1555340503,O,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340503,非目标标准体系: 1555340503,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000559,,v6-OSHA官网验证版,1555340503,1555340503,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340503,非目标标准体系: 1555340503,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000560,,v6-OSHA官网验证版,1555340504,1555340504,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340504,非目标标准体系: 1555340504,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000561,,v6-OSHA官网验证版,1555340509,1555340509,O,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340509,非目标标准体系: 1555340509,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000562,,v6-OSHA官网验证版,1555340802 A   02C1,1555340802 A   02C1,S,1,0,,刘诗曼,R9,,,R9,低,是,密歇根州R 408 州计划标准-无官方分类表,密歇根州R 408 州计划标准-无官方分类表,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340802 A   02C1,非目标标准体系: 1555340802 A   02C1,是,否,R9,,,R9,双方一致,刘诗曼,,是,密歇根州R 408 州计划标准-无官方分类表,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000563,,v6-OSHA官网验证版,1555340802 B,1555340802 B,S,2,0,,刘诗曼,R9,,,R9,低,是,密歇根州R 408 州计划标准-无官方分类表,密歇根州R 408 州计划标准-无官方分类表,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340802 B,非目标标准体系: 1555340802 B,是,否,R9,,,R9,双方一致,刘诗曼,,是,密歇根州R 408 州计划标准-无官方分类表,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000564,,v6-OSHA官网验证版,1555340802 D   01,1555340802 D   01,S,5,0,,刘诗曼,R9,,,R9,低,是,密歇根州R 408 州计划标准-无官方分类表,密歇根州R 408 州计划标准-无官方分类表,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340802 D   01,非目标标准体系: 1555340802 D   01,是,否,R9,,,R9,双方一致,刘诗曼,,是,密歇根州R 408 州计划标准-无官方分类表,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000565,,v6-OSHA官网验证版,1555340802 D   02,1555340802 D   02,S,1,0,,刘诗曼,R9,,,R9,低,是,密歇根州R 408 州计划标准-无官方分类表,密歇根州R 408 州计划标准-无官方分类表,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555340802 D   02,非目标标准体系: 1555340802 D   02,是,否,R9,,,R9,双方一致,刘诗曼,,是,密歇根州R 408 州计划标准-无官方分类表,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000566,,v6-OSHA官网验证版,155534080206   01,155534080206   01,S,1,0,,刘诗曼,R9,,,R9,低,是,密歇根州R 408 州计划标准-无官方分类表,密歇根州R 408 州计划标准-无官方分类表,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 155534080206   01,非目标标准体系: 155534080206   01,是,否,R9,,,R9,双方一致,刘诗曼,,是,密歇根州R 408 州计划标准-无官方分类表,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000567,,v6-OSHA官网验证版,155534120304   01,155534120304   01,S,1,0,,刘诗曼,R9,,,R9,低,是,纽约州12 NYCRR 州计划标准-无官方分类表,纽约州12 NYCRR 州计划标准-无官方分类表,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 155534120304   01,非目标标准体系: 155534120304   01,是,否,R9,,,R9,双方一致,刘诗曼,,是,纽约州12 NYCRR 州计划标准-无官方分类表,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000568,,v6-OSHA官网验证版,1555371502,1555371502,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555371502,非目标标准体系: 1555371502,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000569,,v6-OSHA官网验证版,1555560005,1555560005,O,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555560005,非目标标准体系: 1555560005,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000570,,v6-OSHA官网验证版,155556001002,155556001002,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 155556001002,非目标标准体系: 155556001002,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000571,,v6-OSHA官网验证版,1555582001,1555582001,O,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555582001,非目标标准体系: 1555582001,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000572,,v6-OSHA官网验证版,1555582002 B,1555582002 B,S,1,0,,刘诗曼,R9,,,R9,低,是,非1910/1926系列标准-无法分类,非1910/1926系列标准-无法分类,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 1555582002 B,非目标标准体系: 1555582002 B,是,否,R9,,,R9,双方一致,刘诗曼,,是,非1910/1926系列标准-无法分类,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
